predicted_rank,player,position,predicted_vor,actual_2025_points,actual_2025_rank
485,Jalen Guyton,WR,-6.2324,,
486,Chris Conley,WR,-6.282,10.6,480
487,Brandon Bolden,RB,-6.2988,,
488,Equanimeous St. Brown,WR,-6.302,,
489,Alex Erickson,WR,-6.3081,0.0,660
490,Matt Ammendola,K,-6.3124,,
491,Kenny Pickett,QB,-6.3237,26.14,396
492,Aidan O'Connell,QB,-6.3373,97.48,210
493,Tyler Johnson,WR,-6.4241,48.1,319
494,Craig Reynolds,RB,-6.4464,19.4,431
495,JaMycal Hasty,RB,-6.4651,23.8,409
496,DeeJay Dallas,RB,-6.4791,19.5,428
497,David Moore,WR,-6.4917,69.1,273
498,Xavier Hutchinson,WR,-6.4954,17.7,436
499,Dare Ogunbowale,RB,-6.5014,46.5,326
500,Lynn Bowden,WR,-6.5103,,
501,Tank Bigsby,RB,-6.5114,125.5,140
502,Austin Seibert,K,-6.5119,110.0,172
503,Alec Ingold,RB,-6.5297,20.8,424
504,Deven Thompkins,WR,-6.5429,4.7,539
505,Raheem Blackshear,RB,-6.543,8.0,504
506,Ihmir Smith-Marsette,WR,-6.5435,6.0,519
507,Andrew Beck,RB,-6.5596,0.0,644
508,River Cracraft,WR,-6.6006,10.1,485
509,Deon Jackson,RB,-6.6167,,
510,Phillip Dorsett,WR,-6.6298,,
511,Zach Wilson,QB,-6.6597,,
512,Bam Knight,RB,-6.6624,,
513,Steven Sims,WR,-6.6895,-2.0,668
514,Travis Homer,RB,-6.6972,4.9,536
515,Charlie Jones,WR,-6.6982,5.0,535
516,Velus Jones Jr.,WR,-6.6999,0.4,614
517,Kyle Philips,WR,-6.7283,,
518,Jimmy Garoppolo,QB,-6.7386,20.86,423
519,Patrick Taylor,RB,-6.7547,28.3,383
520,Willie Snead,WR,-6.7893,,
521,Tony Jones,RB,-6.7911,11.5,470
522,C.J. Ham,RB,-6.8162,11.0,478
523,Laquon Treadwell,WR,-6.8331,,
524,Jeremy McNichols,RB,-6.8396,59.3,293
525,Darrynton Evans,RB,-6.8603,0.3,617
526,Jason Brownlee,WR,-6.9091,,
527,Samori Toure,WR,-6.9229,,
528,Ty Montgomery,WR,-6.936,,
529,Damien Williams,RB,-6.9428,,
